Bay Ridge 86 St/ 4Av;0:00;86St/ 18Av;0:10; 86 St/ Stillwell Av;0:17;Brighton Ach Av/ coney island Av;0:13;KCC;0:00
;23:16;;23:28;;23:18;;21:03;;21:02
;23:36;;23:48;;23:56;;21:11;;21:08
;;;;;;;21:18;;21:16
;;;;;;;21:26;;21:23
;;;;;;;21:36;;21:31
;;;;;;;21:48;;21:41
;;;;;;;22:00;;21:53
;;;;;;;22:17;;22:05
;;;;;;;22:37;;22:22
;;;;;;;22:57;;22:42
;;;;;;;23:17;;23:02
;;;;;;;23:37;;23:22
;;;;;;;23:55;;23:42
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
