Kingsborough Community College;0:20;Bightn Bch Av/ Coney Is Av;0:00; 86 St/ Stillwell Av;0:16;86 St/ 18 Av;0:04;87 St/ 4 Av;0:11
;21:52;;21:50;;22:30;;23:24;;23:33
;21:57;;21:57;;22:45;;23:44;;23:53
;22:02;;22:02;;22:56;;;;
;22:07;;22:07;;23:16;;;;
;22:22;;22:12;;23:36;;;;
;22:35;;22:27;;23:56;;;;
;22:55;;22:40;;;;;;
;23:15;;23:00;;;;;;
;23:35;;23:20;;;;;;
;23:55;;23:40;;;;;;
